シャバーブチェのラホージャは不安そうだ。			シャバーブチェのラホージャは不安そうだ。			遭遇！ 敵は盗賊団！？							
ラホージャの村では、護りの力を持った祭器が盗まれてしまったらしい。取り返そうとアラミゴへ渡ったセートジャという女性を探すため、「ラールガーズリーチ」で情報を集めよう。			ラホージャの村では、護りの力を持った祭器が盗まれてしまったらしい。取り返そうとアラミゴへ渡ったセートジャという女性を探すため、「ラールガーズリーチ」で情報を集めよう。			遭遇！ 敵は盗賊団！？							
ラールガーズリーチでセートジャの情報を集めた。それらしき人物が向かったと思われるギラバニア辺境地帯のヴィルジャラの涸れ谷付近で「セートジャ」を探そう。			ラールガーズリーチでセートジャの情報を集めた。それらしき人物が向かったと思われるギラバニア辺境地帯のヴィルジャラの涸れ谷付近で「セートジャ」を探そう。			遭遇！ 敵は盗賊団！？							
セートジャを探した先で見つけたのは、祭器を盗んだシャルトフィット率いる盗賊団だった。襲われていた商人を保護すべくラールガーズリーチに移動し、「セートジャ」と話そう。			セートジャを探した先で見つけたのは、祭器を盗んだシャルトフィット率いる盗賊団だった。襲われていた商人を保護すべくラールガーズリーチに移動し、「セートジャ」と話そう。			遭遇！ 敵は盗賊団！？							
セートジャと話し、祭器を使って悪事を働く盗賊団を追うことにした。これからもセートジャに協力していこう。※いずれかの遠隔物理DPSジョブのレベルが92以上になると、ラールガーズリーチのセートジャから次の遠隔物理DPSロールクエストを受注することができます。			セートジャと話し、祭器を使って悪事を働く盗賊団を追うことにした。これからもセートジャに協力していこう。※いずれかの遠隔物理DPSジョブのレベルが92以上になると、ラールガーズリーチのセートジャから次の遠隔物理DPSロールクエストを受注することができます。			遭遇！ 敵は盗賊団！？							
ラールガーズリーチで情報を集める			ラールガーズリーチで情報を集める			遭遇！ 敵は盗賊団！？							
ヴィルジャラの涸れ谷でセートジャを探す			ヴィルジャラの涸れ谷でセートジャを探す			遭遇！ 敵は盗賊団！？							
ラールガーズリーチでセートジャと話す			ラールガーズリーチでセートジャと話す			遭遇！ 敵は盗賊団！？							
よう来てくれた、Forename！わしに声をかけたということは、祭器の奪還を気にかけてくれているということじゃの。			よう来てくれた、Forename！わしに声をかけたということは、祭器の奪還を気にかけてくれているということじゃの。			遭遇！ 敵は盗賊団！？							
都が大変なときじゃが、よう来てくれた！わしに声をかけたということは、祭器の奪還を気にかけてくれているということじゃの。			都が大変なときじゃが、よう来てくれた！わしに声をかけたということは、祭器の奪還を気にかけてくれているということじゃの。			遭遇！ 敵は盗賊団！？							
ああ、ありがたいことじゃ。ヨカ・トラルのずっと南にある辺境の集落から、決死の思いで、トライヨラへ出てきた甲斐もあったというもの。			ああ、ありがたいことじゃ。ヨカ・トラルのずっと南にある辺境の集落から、決死の思いで、トライヨラへ出てきた甲斐もあったというもの。			遭遇！ 敵は盗賊団！？							
さっそく本題に入るが、わしらの祭器には、アルマジロのトラルヴィドラールの魂が込められておってな。			さっそく本題に入るが、わしらの祭器には、アルマジロのトラルヴィドラールの魂が込められておってな。			遭遇！ 敵は盗賊団！？							
言い伝えによれば、その生物は温厚な心の持ち主じゃったという。硬い外皮で身を守ることで、危険な密林の中で驚くほど長く生き、いつしか「森の主」と呼ばれるまでになったのだとか……。			言い伝えによれば、その生物は温厚な心の持ち主じゃったという。硬い外皮で身を守ることで、危険な密林の中で驚くほど長く生き、いつしか「森の主」と呼ばれるまでになったのだとか……。			遭遇！ 敵は盗賊団！？							
その「森の主」が天寿を全うしたとき、わしらの先祖は畏敬の念を以て祭器にその魂を留めた。そして代々、堅牢なる護りの力をお借りしてきたのじゃ。			その「森の主」が天寿を全うしたとき、わしらの先祖は畏敬の念を以て祭器にその魂を留めた。そして代々、堅牢なる護りの力をお借りしてきたのじゃ。			遭遇！ 敵は盗賊団！？							
祭器から加護を受ければ、獰猛な野獣に噛みつかれようとも、傷ひとつつかなくなる。危険な森でも、安全に狩りができるというわけじゃ。			祭器から加護を受ければ、獰猛な野獣に噛みつかれようとも、傷ひとつつかなくなる。危険な森でも、安全に狩りができるというわけじゃ。			遭遇！ 敵は盗賊団！？							
ところが、そんな重要な祭器が盗まれてしまった。行商人を騙る、ひょろりとした背の高い男によってな。			ところが、そんな重要な祭器が盗まれてしまった。行商人を騙る、ひょろりとした背の高い男によってな。			遭遇！ 敵は盗賊団！？							
そやつは異国の品を並べて興味を惹くと、友好の印にと酒を振る舞いはじめ……皆を昏倒させての。気づいたときには、祭器とともに消えておったというわけじゃ。			そやつは異国の品を並べて興味を惹くと、友好の印にと酒を振る舞いはじめ……皆を昏倒させての。気づいたときには、祭器とともに消えておったというわけじゃ。			遭遇！ 敵は盗賊団！？							
祭器がなければ、新たに護りの力を身に受けることはできん。村人たちは次々に加護を失っていった……。			祭器がなければ、新たに護りの力を身に受けることはできん。村人たちは次々に加護を失っていった……。			遭遇！ 敵は盗賊団！？							
どうにか護りの力が残っていた、わしと孫娘のふたりは、祭器を取り戻すべく村を出ての。この街まで来たのだが、盗っ人はすでに船で去ったあとじゃった。			どうにか護りの力が残っていた、わしと孫娘のふたりは、祭器を取り戻すべく村を出ての。この街まで来たのだが、盗っ人はすでに船で去ったあとじゃった。			遭遇！ 敵は盗賊団！？							
かくして孫のセートジャのみが、長き船旅には耐えられんわしを置き、外つ国に向かったのじゃ。ひとりでは無謀だと言っても聞かんでな。			かくして孫のセートジャのみが、長き船旅には耐えられんわしを置き、外つ国に向かったのじゃ。ひとりでは無謀だと言っても聞かんでな。			遭遇！ 敵は盗賊団！？							
ゆえに、あんたに助力を頼みたい！異国の地理に詳しいのはもちろんのこと、護りの力を得た盗っ人と渡りあえる、戦士の助けが必要なんじゃ！			ゆえに、あんたに助力を頼みたい！異国の地理に詳しいのはもちろんのこと、護りの力を得た盗っ人と渡りあえる、戦士の助けが必要なんじゃ！			遭遇！ 敵は盗賊団！？							
何と言う？			何と言う？			遭遇！ 敵は盗賊団！？							
任せて！			任せて！			遭遇！ 敵は盗賊団！？							
まぁ、いいよ			まぁ、いいよ			遭遇！ 敵は盗賊団！？							
おお、助かるぞ異国の戦士よ！孫は盗っ人を追い、「あらみご」なる地を目指して旅立った。			おお、助かるぞ異国の戦士よ！孫は盗っ人を追い、「あらみご」なる地を目指して旅立った。			遭遇！ 敵は盗賊団！？							
