ドマ冒険者団のヨウザンは、冒険者ともっと遊びたいようだ。			ドマ冒険者団のヨウザンは、冒険者ともっと遊びたいようだ。			容疑者ドマ冒険者団							
ヨウザンたちは、新たな冒険のネタを探しに向かったようだ。ロッカから、レシュ・ポラリへの伝言を頼まれた。モードゥナのレヴナンツトールにいる「レシュ・ポラリ」に、伝えに行こう。			ヨウザンたちは、新たな冒険のネタを探しに向かったようだ。ロッカから、レシュ・ポラリへの伝言を頼まれた。モードゥナのレヴナンツトールにいる「レシュ・ポラリ」に、伝えに行こう。			容疑者ドマ冒険者団							
レシュ・ポラリに、忘れ物をロッカに届けたことを報告した。彼女は、子どもたちが窃盗を行ったという噂があることを聞いたようだ。レヴナンツトールの「スラフボーン」から事情を聞こう。			レシュ・ポラリに、忘れ物をロッカに届けたことを報告した。彼女は、子どもたちが窃盗を行ったという噂があることを聞いたようだ。レヴナンツトールの「スラフボーン」から事情を聞こう。			容疑者ドマ冒険者団							
スラフボーンから、ロウェナ記念会館の保管庫から魔道書が盗まれたことを聞いた。犯人の情報は、小柄な四人組のようだ。レヴナンツトールにいるドマの子どもたちを4人見つけて、話を聞いてみよう。			スラフボーンから、ロウェナ記念会館の保管庫から魔道書が盗まれたことを聞いた。犯人の情報は、小柄な四人組のようだ。レヴナンツトールにいるドマの子どもたちを4人見つけて、話を聞いてみよう。			容疑者ドマ冒険者団							
ドマの子どもたちを見つけて話を聞いた。子どもたちは、自分たちは犯人ではないと主張していた。レヴナンツトールの「ヨウザン」と話そう。			ドマの子どもたちを見つけて話を聞いた。子どもたちは、自分たちは犯人ではないと主張していた。レヴナンツトールの「ヨウザン」と話そう。			容疑者ドマ冒険者団							
ヨウザンと話すと、ドマ冒険者団で真犯人を見つけることになった。小柄な四人組の犯人は、ララフェル族ではないかと推理したようだ。コハルの情報で、最近レヴナンツトールに訪れた者たちの中で該当するものがいることがわかった。そのララフェル族の四人組を調査しよう。			ヨウザンと話すと、ドマ冒険者団で真犯人を見つけることになった。小柄な四人組の犯人は、ララフェル族ではないかと推理したようだ。コハルの情報で、最近レヴナンツトールに訪れた者たちの中で該当するものがいることがわかった。そのララフェル族の四人組を調査しよう。			容疑者ドマ冒険者団							
レシュ・ポラリと話す			レシュ・ポラリと話す			容疑者ドマ冒険者団							
スラフボーンと話す			スラフボーンと話す			容疑者ドマ冒険者団							
ドマ冒険者団の団員を探す			ドマ冒険者団の団員を探す			容疑者ドマ冒険者団							
ヨウザンと話す			ヨウザンと話す			容疑者ドマ冒険者団							
もっと冒険したいなー。ねえちゃんにいちゃん、何か面白そうなネタないのか？			もっと冒険したいなー。ねえちゃんにいちゃん、何か面白そうなネタないのか？			容疑者ドマ冒険者団							
……うーん、残念。まぁ、ここにはいろんな冒険者がいるから、探せば、まだまだ何かありそうだよな！			……うーん、残念。まぁ、ここにはいろんな冒険者がいるから、探せば、まだまだ何かありそうだよな！			容疑者ドマ冒険者団							
よし、みんなで噂とか伝説とか、大人たちから聞いて回って情報収集しようぜ！			よし、みんなで噂とか伝説とか、大人たちから聞いて回って情報収集しようぜ！			容疑者ドマ冒険者団							
面白そうなネタがあったら、またねえちゃんにいちゃんを捉まえて冒険に出発だ！			面白そうなネタがあったら、またねえちゃんにいちゃんを捉まえて冒険に出発だ！			容疑者ドマ冒険者団							
……そうだ、おねえさんおにいさん。もし、レシュさんを見かけたら、あんまり無理はしないように！って、伝えておいてください。			……そうだ、おねえさんおにいさん。もし、レシュさんを見かけたら、あんまり無理はしないように！って、伝えておいてください。			容疑者ドマ冒険者団							
楽しかったね！でも、ヨウザンは、まだまだ満足してないと思うよ。あたしも、もっと冒険したいもん！			楽しかったね！でも、ヨウザンは、まだまだ満足してないと思うよ。あたしも、もっと冒険したいもん！			容疑者ドマ冒険者団							
