選者殿のキィ・アリアポーは、魔法大学の仕事を頼みたいようだ。			選者殿のキィ・アリアポーは、魔法大学の仕事を頼みたいようだ。			魔法大学職員からのお願い							
キィ・アリアポーは、魔法大学の職員として、仕事を依頼できる人材の確保に苦労しているようだ。興味があるなら、オールド・シャーレアンの選者殿にいる「キィ・アリアポー」に、再度話しかけて詳しい話を聞いてみよう。			キィ・アリアポーは、魔法大学の職員として、仕事を依頼できる人材の確保に苦労しているようだ。興味があるなら、オールド・シャーレアンの選者殿にいる「キィ・アリアポー」に、再度話しかけて詳しい話を聞いてみよう。			魔法大学職員からのお願い							
キィ・アリアポーと再度話した。選者殿には、各学部の教授や生徒たちが、グリーナーを求めて集まっているという。腕に自信があるのなら、各学部の門戸を叩いてみてもいいだろう。			キィ・アリアポーと再度話した。選者殿には、各学部の教授や生徒たちが、グリーナーを求めて集まっているという。腕に自信があるのなら、各学部の門戸を叩いてみてもいいだろう。			魔法大学職員からのお願い							
キィ・アリアポーと話す			キィ・アリアポーと話す			魔法大学職員からのお願い							
本クエストを進行するためには、サブクエスト「職人の新たなお仕事」を完了する必要があります。			本クエストを進行するためには、サブクエスト「職人の新たなお仕事」を完了する必要があります。			魔法大学職員からのお願い							
学長から話は聞きました！アナタが、魔法大学の仕事を引き受けてくださる、Forenameさんですね？			学長から話は聞きました！アナタが、魔法大学の仕事を引き受けてくださる、Forenameさんですね？			魔法大学職員からのお願い							
やったー！とっても助かります！			やったー！とっても助かります！			魔法大学職員からのお願い							
知の都の最高学府である「シャーレアン魔法大学」ともなると、教授はもちろんのこと、学生たちに至るまで、求める品は稀少なものばかり……！			知の都の最高学府である「シャーレアン魔法大学」ともなると、教授はもちろんのこと、学生たちに至るまで、求める品は稀少なものばかり……！			魔法大学職員からのお願い							
だから物資調達を依頼するグリーナーも、かなりの腕利きじゃないと、務まらないというか……。いつも人材確保に苦労してる、私の身にもなってほしいですよ！			だから物資調達を依頼するグリーナーも、かなりの腕利きじゃないと、務まらないというか……。いつも人材確保に苦労してる、私の身にもなってほしいですよ！			魔法大学職員からのお願い							
……ゴホン。ともかく、アナタにとっても、輝かしい実績になる依頼ばかりのはずです……多分！			……ゴホン。ともかく、アナタにとっても、輝かしい実績になる依頼ばかりのはずです……多分！			魔法大学職員からのお願い							
もしも興味があるようでしたら、詳しくご説明しますよ？ただ、ほんのちょっとだけ長話になるので、時間がある時に声をかけてください！			もしも興味があるようでしたら、詳しくご説明しますよ？ただ、ほんのちょっとだけ長話になるので、時間がある時に声をかけてください！			魔法大学職員からのお願い							
さて、それでは依頼について詳しい説明をさせてください。			さて、それでは依頼について詳しい説明をさせてください。			魔法大学職員からのお願い							
見ての通り、ここ選者殿には各学部の教授や生徒たちが、腕利きのグリーナーを求めて、集まっています。軽く紹介してみますね。			見ての通り、ここ選者殿には各学部の教授や生徒たちが、腕利きのグリーナーを求めて、集まっています。軽く紹介してみますね。			魔法大学職員からのお願い							
まずは……「考古学部」のボリック君。ルルシャ教授の研究室で助手を務めている彼は、遺物修復のために、金属を扱う職人を探しているそうです。			まずは……「考古学部」のボリック君。ルルシャ教授の研究室で助手を務めている彼は、遺物修復のために、金属を扱う職人を探しているそうです。			魔法大学職員からのお願い							
「天文学部」のジュード君は、革、布、木を扱える職人を紹介してほしがっているけど……極度の人見知りで、目的までは教えてくれませんでした。			「天文学部」のジュード君は、革、布、木を扱える職人を紹介してほしがっているけど……極度の人見知りで、目的までは教えてくれませんでした。			魔法大学職員からのお願い							
「医学部」の学生であるデブロイさんは、たしか栄養学のガルヴロッシュ教授の下で研究していたはず。薬や食品を扱える職人の協力を求めているそうです。			「医学部」の学生であるデブロイさんは、たしか栄養学のガルヴロッシュ教授の下で研究していたはず。薬や食品を扱える職人の協力を求めているそうです。			魔法大学職員からのお願い							
「文化学部」のヒナゲシちゃんは、植物や鉱物の採集が得意な人を探しているらしいけど……彼女が属してるタンキン研究室は、問題を抱えているみたいね。			「文化学部」のヒナゲシちゃんは、植物や鉱物の採集が得意な人を探しているらしいけど……彼女が属してるタンキン研究室は、問題を抱えているみたいね。			魔法大学職員からのお願い							
あっちの彼は、「エーテル学部」のチャ・ラカ・ティア准教授。論文執筆の協力者として、漁師の紹介を頼まれたんですが、かなり切羽詰まった状況のようです……。			あっちの彼は、「エーテル学部」のチャ・ラカ・ティア准教授。論文執筆の協力者として、漁師の紹介を頼まれたんですが、かなり切羽詰まった状況のようです……。			魔法大学職員からのお願い							
……と言った具合で、今は合計5つの学部の方々が、各々が抱える研究のために、協力者を求めています。			……と言った具合で、今は合計5つの学部の方々が、各々が抱える研究のために、協力者を求めています。			魔法大学職員からのお願い							
誰の依頼を受けるかは、アナタの判断にお任せしますが、学問に身を捧げてる人たちって、変わり者が多いですからね。とにかく、まぁ……			誰の依頼を受けるかは、アナタの判断にお任せしますが、学問に身を捧げてる人たちって、変わり者が多いですからね。とにかく、まぁ……			魔法大学職員からのお願い							
どんな人が相手でも、途中で投げ出さないであげてくださいね！			どんな人が相手でも、途中で投げ出さないであげてくださいね！			魔法大学職員からのお願い							
「シャーレアン魔法大学取引」が開放されました！「考古学部／天文学部／医学部／文化学部／エーテル学部」に、所属する、それぞれの人物に話しかけ、ぜひ受注してみましょう！			「シャーレアン魔法大学取引」が開放されました！「考古学部／天文学部／医学部／文化学部／エーテル学部」に、所属する、それぞれの人物に話しかけ、ぜひ受注してみましょう！			魔法大学職員からのお願い							
選者殿のキィ・アリアポーは、冒険者のことを待っていたようだ。			選者殿のキィ・アリアポーは、冒険者のことを待っていたようだ。			繋がる想い							
キィ・アリアポーと話した。オールド・シャーレアンの公開講堂の「キィ・アリアポー」と話そう。			キィ・アリアポーと話した。オールド・シャーレアンの公開講堂の「キィ・アリアポー」と話そう。			繋がる想い							
キィ・アリアポーに話しかけて、魔法大学学長のモンティシェーニュの依頼を聞いた。モンティシェーニュは、冒険者が手を貸した5つの研究室や研究会に対して、「研究共有会」への参加を打診してもらいたいという。オールド・シャーレアンの工匠殿にいる「ルルシャ」、「ジュード」、「デブロイ」と話そう。オールド・シャーレアンの選者殿にいる、「ヒナゲシ」、「チャ・ラカ・ティア」と話そう。			キィ・アリアポーに話しかけて、魔法大学学長のモンティシェーニュの依頼を聞いた。モンティシェーニュは、冒険者が手を貸した5つの研究室や研究会に対して、「研究共有会」への参加を打診してもらいたいという。オールド・シャーレアンの工匠殿にいる「ルルシャ」、「ジュード」、「デブロイ」と話そう。オールド・シャーレアンの選者殿にいる、「ヒナゲシ」、「チャ・ラカ・ティア」と話そう。			繋がる想い							
ルルシャと話して、研究共有会への参加を打診した。ついにルルシャの研究が再び日の目を見る日がやってきて、ボリックは感極まっていた。ジュードと話して、研究共有会への参加を打診した。星見鏡の有用性と、まだ見ぬ星の可能性を発表する機会を得たことを、喜んでいるようだった。デブロイと話して、研究共有会への参加を打診した。美食の奥深さを知ってもらうために、メルヴィンブレッドの試食会を開くつもりだという。ヒナゲシと話して、研究共有会への参加を打診した。研究共有会の場を借りて、二次会を開こうと画策しているようだ。チャ・ラカ・ティアと話して、研究共有会への参加を打診した。引退したネレー教授を安心させるためにも、何としても成功させたいと考えているらしい。選者殿の「キィ・アリアポー」と話そう。			ルルシャと話して、研究共有会への参加を打診した。ついにルルシャの研究が再び日の目を見る日がやってきて、ボリックは感極まっていた。ジュードと話して、研究共有会への参加を打診した。星見鏡の有用性と、まだ見ぬ星の可能性を発表する機会を得たことを、喜んでいるようだった。デブロイと話して、研究共有会への参加を打診した。美食の奥深さを知ってもらうために、メルヴィンブレッドの試食会を開くつもりだという。ヒナゲシと話して、研究共有会への参加を打診した。研究共有会の場を借りて、二次会を開こうと画策しているようだ。チャ・ラカ・ティアと話して、研究共有会への参加を打診した。引退したネレー教授を安心させるためにも、何としても成功させたいと考えているらしい。選者殿の「キィ・アリアポー」と話そう。			繋がる想い							
キィ・アリアポーと話した。共有会の時間までの間、ラストスタンドで食事を振る舞ってくれるという。オールド・シャーレアンのラストスタンドの「キィ・アリアポー」と再度話そう。			キィ・アリアポーと話した。共有会の時間までの間、ラストスタンドで食事を振る舞ってくれるという。オールド・シャーレアンのラストスタンドの「キィ・アリアポー」と再度話そう。			繋がる想い							
キィ・アリアポーに再度話しかけて、ラストスタンドの食事をごちそうになった。そこへ、レポリットのサーチングウェイが現れ、サーチングウェイが研究共有会を見学できるよう、モンティシェーニュに取り合うことになった。公開講堂の「指定地点」で待機して、モンティシェーニュと話そう。			キィ・アリアポーに再度話しかけて、ラストスタンドの食事をごちそうになった。そこへ、レポリットのサーチングウェイが現れ、サーチングウェイが研究共有会を見学できるよう、モンティシェーニュに取り合うことになった。公開講堂の「指定地点」で待機して、モンティシェーニュと話そう。			繋がる想い							
指定地点で待機して、モンティシェーニュから、サーチングウェイの共有会の見学許可をもらった。冒険者は、サーチングウェイ、キィ・アリアポーとともに、ラヴィリンソスのアポリア本部にて開かれた研究共有会を見学した。いずれの発表も、サーチングウェイの心を震わせるに十分な内容だったようだ。共有会の終わり際、サーチングウェイから投げかけられた、今回の研究成果をどう統合するつもりかと問われた冒険者は、宇宙探査という壮大な夢を口にした。冒険者の考えに共鳴したように、ルルシャやジュードたち5人もまた、宇宙探査を夢見て邁進することを心に決めたのだった。選者殿の「キィ・アリアポー」と話そう。			指定地点で待機して、モンティシェーニュから、サーチングウェイの共有会の見学許可をもらった。冒険者は、サーチングウェイ、キィ・アリアポーとともに、ラヴィリンソスのアポリア本部にて開かれた研究共有会を見学した。いずれの発表も、サーチングウェイの心を震わせるに十分な内容だったようだ。共有会の終わり際、サーチングウェイから投げかけられた、今回の研究成果をどう統合するつもりかと問われた冒険者は、宇宙探査という壮大な夢を口にした。冒険者の考えに共鳴したように、ルルシャやジュードたち5人もまた、宇宙探査を夢見て邁進することを心に決めたのだった。選者殿の「キィ・アリアポー」と話そう。			繋がる想い							
キィ・アリアポーと話した。「深宇宙探査学」という新しい学問を生み出した冒険者の選択は、彼女に良い刺激を与えたようだ。しかし、最後までサーチングウェイの耳に触れることはできなかったようだ。			キィ・アリアポーと話した。「深宇宙探査学」という新しい学問を生み出した冒険者の選択は、彼女に良い刺激を与えたようだ。しかし、最後までサーチングウェイの耳に触れることはできなかったようだ。			繋がる想い							
キィ・アリアポーと話す			キィ・アリアポーと話す			繋がる想い							
ルルシャと話す			ルルシャと話す			繋がる想い							
ジュードと話す			ジュードと話す			繋がる想い							
デブロイと話す			デブロイと話す			繋がる想い							
ヒナゲシと話す			ヒナゲシと話す			繋がる想い							
チャ・ラカ・ティアと話す			チャ・ラカ・ティアと話す			繋がる想い							
キィ・アリアポーと話す			キィ・アリアポーと話す			繋がる想い							
キィ・アリアポーと再度話す			キィ・アリアポーと再度話す			繋がる想い							
指定地点で待機			指定地点で待機			繋がる想い							
キィ・アリアポーと話す			キィ・アリアポーと話す			繋がる想い							
おや、Forenameさん。ちょうどいいところに！			おや、Forenameさん。ちょうどいいところに！			繋がる想い							
っと、その前に……私が紹介した、みなさんへの多大なるご支援、本当に、ありがとうございました！			っと、その前に……私が紹介した、みなさんへの多大なるご支援、本当に、ありがとうございました！			繋がる想い							
アナタが手を貸した研究会や研究室は、どこも素晴らしい成果を挙げていると、学内でも評判ですよ！			アナタが手を貸した研究会や研究室は、どこも素晴らしい成果を挙げていると、学内でも評判ですよ！			繋がる想い							
それで、ここからが本題なんですが……			それで、ここからが本題なんですが……			繋がる想い							
彼らの研究成果を知ったある人物が、アナタに頼みたいことがあると言っていまして……。もしよかったら、話だけでも聞いていただけませんか？			彼らの研究成果を知ったある人物が、アナタに頼みたいことがあると言っていまして……。もしよかったら、話だけでも聞いていただけませんか？			繋がる想い							
ありがとうございます！詳しい話は、「公開講堂」でさせてください。			ありがとうございます！詳しい話は、「公開講堂」でさせてください。			繋がる想い							
