ワチュメキメキ万貨街のパメカは、こちらの様子を窺っている。			ワチュメキメキ万貨街のパメカは、こちらの様子を窺っている。			不思議なお話を							
パメカと話した。筆記工房を営むパメカは、ひとりでは受けられない依頼に悩んでいたようだ。トライヨラのシャバーブチェにいる「デモウェニ」と話そう。			パメカと話した。筆記工房を営むパメカは、ひとりでは受けられない依頼に悩んでいたようだ。トライヨラのシャバーブチェにいる「デモウェニ」と話そう。			不思議なお話を							
デモウェニと話した。彼は、店の客から様々な物語を聞かされ、また自ら披露することがあるようで、その内容を本として残したいと考えていた。トライヨラのワチュメキメキ万貨街にいる「パメカ」と話そう。			デモウェニと話した。彼は、店の客から様々な物語を聞かされ、また自ら披露することがあるようで、その内容を本として残したいと考えていた。トライヨラのワチュメキメキ万貨街にいる「パメカ」と話そう。			不思議なお話を							
パメカと話した。彼女はデモウェニが語る物語を口述筆記によって書き記すようだ。物語の世界観にふさわしい本を作るため、パメカの筆記工房に手を貸していこう。			パメカと話した。彼女はデモウェニが語る物語を口述筆記によって書き記すようだ。物語の世界観にふさわしい本を作るため、パメカの筆記工房に手を貸していこう。			不思議なお話を							
デモウェニと話す			デモウェニと話す			不思議なお話を							
パメカと話す			パメカと話す			不思議なお話を							
いらっしゃい。キミは外つ国から来た、熟練の[Job]なのですね？			いらっしゃい。キミは外つ国から来た、熟練の[Job]なのですね？			不思議なお話を							
改めて……私はパメカ、この筆記工房の店主です。うちの仕事を手伝ってくださるのでしたら大歓迎ですが、その前に、不躾ながらひとつ確認を。			改めて……私はパメカ、この筆記工房の店主です。うちの仕事を手伝ってくださるのでしたら大歓迎ですが、その前に、不躾ながらひとつ確認を。			不思議なお話を							
キミ、文字は読めますか？			キミ、文字は読めますか？			不思議なお話を							
何と言う？			何と言う？			不思議なお話を							
三度の飯より読書が大好きだ			三度の飯より読書が大好きだ			不思議なお話を							
読むのは問題ないが、文章を書くのは苦手だ			読むのは問題ないが、文章を書くのは苦手だ			不思議なお話を							
トラル大陸の文字は、どうだろう……			トラル大陸の文字は、どうだろう……			不思議なお話を							
素晴らしい、仲良くなれそうですね！私も先日、歩きながら読書に熱中していたら、うっかり海に落ちてしまいましたよ、フフフ……。			素晴らしい、仲良くなれそうですね！私も先日、歩きながら読書に熱中していたら、うっかり海に落ちてしまいましたよ、フフフ……。			不思議なお話を							
了解しました。キミのことを知っておきたかっただけで、仕事には影響ありませんので、ご安心を。			了解しました。キミのことを知っておきたかっただけで、仕事には影響ありませんので、ご安心を。			不思議なお話を							
トラルの文字は……ということは、エオルゼアで使われている文字なら読めるのですね？			トラルの文字は……ということは、エオルゼアで使われている文字なら読めるのですね？			不思議なお話を							
でしたら、ご安心を。トラル公用語にはエオルゼアの文字があてられていますので、同じように読めるはずですよ。			でしたら、ご安心を。トラル公用語にはエオルゼアの文字があてられていますので、同じように読めるはずですよ。			不思議なお話を							
実は、ここトライヨラでは、トラル公用語を話せるものの、文字の読み書きまではできない、という人が多くて。			実は、ここトライヨラでは、トラル公用語を話せるものの、文字の読み書きまではできない、という人が多くて。			不思議なお話を							
そんな方々のために、公的文書や手紙の代筆をするのが、ここ「パメカの筆記工房」の主な業務なんです。			そんな方々のために、公的文書や手紙の代筆をするのが、ここ「パメカの筆記工房」の主な業務なんです。			不思議なお話を							
ところが、少し前にちょっと変わった依頼がありましてね。お客さんが語るお話の内容を、1冊の本にしてほしい……と。			ところが、少し前にちょっと変わった依頼がありましてね。お客さんが語るお話の内容を、1冊の本にしてほしい……と。			不思議なお話を							
まだどんな書物にも記されていない物語……！それを文字に起こして、記録として残そうだなんて、なんとも心躍る話ではありませんか！			まだどんな書物にも記されていない物語……！それを文字に起こして、記録として残そうだなんて、なんとも心躍る話ではありませんか！			不思議なお話を							
ただ、簡単には依頼を受けられない事情がありまして……。普段の業務に使う用紙や便箋は常備していますが、製本に欠かせない「装丁」の技術がないんです。			ただ、簡単には依頼を受けられない事情がありまして……。普段の業務に使う用紙や便箋は常備していますが、製本に欠かせない「装丁」の技術がないんです。			不思議なお話を							
