モルド・スークのケリッグは、テイナーの様子が気にかかるようだ。			モルド・スークのケリッグは、テイナーの様子が気にかかるようだ。			やっと、また会えたね							
テイナーがいつまでも不安そうにしているらしい。モルド・スークで「テイナー」と話そう。			テイナーがいつまでも不安そうにしているらしい。モルド・スークで「テイナー」と話そう。			やっと、また会えたね							
テイナーは、自分のミスで冒険者とケリッグが犠牲になってしまわないかが不安だったらしい。冒険者の言葉で、テイナーは元気を取り戻して、独り立ちできるようになったところを見てほしいと告げ戻っていった。モルド・スークの「ケリッグ」と話そう。			テイナーは、自分のミスで冒険者とケリッグが犠牲になってしまわないかが不安だったらしい。冒険者の言葉で、テイナーは元気を取り戻して、独り立ちできるようになったところを見てほしいと告げ戻っていった。モルド・スークの「ケリッグ」と話そう。			やっと、また会えたね							
3人全員の準備が整った。アム・アレーンの中央アンバーヒルで「テイナー」と話そう。			3人全員の準備が整った。アム・アレーンの中央アンバーヒルで「テイナー」と話そう。			やっと、また会えたね							
テイナーの「虚ろ」に引き寄せられ現れたプロネーシスを討伐した。アム・アレーンで、プロネーシスの最後を見届けよう。			テイナーの「虚ろ」に引き寄せられ現れたプロネーシスを討伐した。アム・アレーンで、プロネーシスの最後を見届けよう。			やっと、また会えたね							
現れたナイルベルトの記憶に向け、テイナーは別れの言葉を伝えた。中央アンバーヒルの「テイナー」と話そう。			現れたナイルベルトの記憶に向け、テイナーは別れの言葉を伝えた。中央アンバーヒルの「テイナー」と話そう。			やっと、また会えたね							
テイナーと話した。モルド・スークに戻り「ケリッグ」と話そう。			テイナーと話した。モルド・スークに戻り「ケリッグ」と話そう。			やっと、また会えたね							
ケリッグとテイナーは、以後も行動をともにすることになった。クリスタリウムにある彷徨う階段亭で「ケリッグ」と話そう。			ケリッグとテイナーは、以後も行動をともにすることになった。クリスタリウムにある彷徨う階段亭で「ケリッグ」と話そう。			やっと、また会えたね							
ケリッグから感謝の言葉を述べられた。彼らふたりなら、賞金稼ぎとして、今後もこの世界をたくましく生きていくことだろう。			ケリッグから感謝の言葉を述べられた。彼らふたりなら、賞金稼ぎとして、今後もこの世界をたくましく生きていくことだろう。			やっと、また会えたね							
テイナーと話す			テイナーと話す			やっと、また会えたね							
ケリッグと話す			ケリッグと話す			やっと、また会えたね							
テイナーと話す			テイナーと話す			やっと、また会えたね							
テイナーと再度話す			テイナーと再度話す			やっと、また会えたね							
ケリッグと話す			ケリッグと話す			やっと、また会えたね							
クリスタリウムのケリッグと話す			クリスタリウムのケリッグと話す			やっと、また会えたね							
プロネーシスを倒せ			プロネーシスを倒せ			やっと、また会えたね							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「闇の戦士」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「闇の戦士」を完了する必要があります。			やっと、また会えたね							
ぼくが、プロネーシスを倒す鍵となる……。失敗しないよう、がんばらないと。			ぼくが、プロネーシスを倒す鍵となる……。失敗しないよう、がんばらないと。			やっと、また会えたね							
プロネーシスを倒す準備と覚悟はできたか？テイナーも、さらに強い魔力を操れるようになったそうだ。「虚ろ」のコントロールも問題なさそうだとよ。			プロネーシスを倒す準備と覚悟はできたか？テイナーも、さらに強い魔力を操れるようになったそうだ。「虚ろ」のコントロールも問題なさそうだとよ。			やっと、また会えたね							
……と言ってるんだが、テイナーの奴、どうにも、不安そうな表情が抜けなくてな。			……と言ってるんだが、テイナーの奴、どうにも、不安そうな表情が抜けなくてな。			やっと、また会えたね							
ちょっと、様子を見てやってくれないか……？おなじ魔道士の方が、相談にも乗れるだろう。テイナーは、「モルド・スーク」の中にいるはずだ。			ちょっと、様子を見てやってくれないか……？おなじ魔道士の方が、相談にも乗れるだろう。テイナーは、「モルド・スーク」の中にいるはずだ。			やっと、また会えたね							
テイナーが、不安そうにしているんだ。「モルド・スーク」の中にいるはずだから、相談に乗ってやってくれないか？			テイナーが、不安そうにしているんだ。「モルド・スーク」の中にいるはずだから、相談に乗ってやってくれないか？			やっと、また会えたね							
あ、Forenameさん……。			あ、Forenameさん……。			やっと、また会えたね							
ケリッグさんに言われて来たんですか？心配してくれていたから。			ケリッグさんに言われて来たんですか？心配してくれていたから。			やっと、また会えたね							
……まったく自信がないわけじゃないんです。ふたりが、修行に付き合ってくれたおかげで、「虚ろ」の制御術はもちろん、戦闘への心構えもできてきました。			……まったく自信がないわけじゃないんです。ふたりが、修行に付き合ってくれたおかげで、「虚ろ」の制御術はもちろん、戦闘への心構えもできてきました。			やっと、また会えたね							
ただ……ある程度、戦えるようになってきたからこそ、罪喰いの恐ろしさも理解できてしまったんです。			ただ……ある程度、戦えるようになってきたからこそ、罪喰いの恐ろしさも理解できてしまったんです。			やっと、また会えたね							
プロネーシスは、罪喰いの中でも強大な存在だといいます。しかも、上位の罪喰いは、他者を罪喰いにしてしまう……。			プロネーシスは、罪喰いの中でも強大な存在だといいます。しかも、上位の罪喰いは、他者を罪喰いにしてしまう……。			やっと、また会えたね							
もし、戦闘中にぼくがミスをして、それで……ふたりが、罪喰いになってしまったら……。			もし、戦闘中にぼくがミスをして、それで……ふたりが、罪喰いになってしまったら……。			やっと、また会えたね							
今のぼくにとって、一番大切なのが、Forenameさんと、ケリッグさんです。ふたりを失ってしまったらと思うと……それだけが怖いんです。			今のぼくにとって、一番大切なのが、Forenameさんと、ケリッグさんです。ふたりを失ってしまったらと思うと……それだけが怖いんです。			やっと、また会えたね							
何と答える？			何と答える？			やっと、また会えたね							
それぞれの力を合わせれば、きっと大丈夫			それぞれの力を合わせれば、きっと大丈夫			やっと、また会えたね							
ナイルベルトを眠らせてあげることだけ考えろ			ナイルベルトを眠らせてあげることだけ考えろ			やっと、また会えたね							
そっか……。ぼくひとりで、立ち向かうわけじゃないんですもんね。3人で戦うんだから……あまり気負わなくていいのかな。			そっか……。ぼくひとりで、立ち向かうわけじゃないんですもんね。3人で戦うんだから……あまり気負わなくていいのかな。			やっと、また会えたね							
余計なことは考えず、目標だけを見ていろってことですか？			余計なことは考えず、目標だけを見ていろってことですか？			やっと、また会えたね							
そうですね、不安ばかりグルグルさせても、逆に力が入って、失敗しちゃいそうだから……。			そうですね、不安ばかりグルグルさせても、逆に力が入って、失敗しちゃいそうだから……。			やっと、また会えたね							
わかりました……ぼく、ふたりを信じます。それと、ナイルベルトを救いたいっていう、自分自身の気持ちを。それだけを胸に、全力でぶつかってみます！			わかりました……ぼく、ふたりを信じます。それと、ナイルベルトを救いたいっていう、自分自身の気持ちを。それだけを胸に、全力でぶつかってみます！			やっと、また会えたね							
ナイルベルトを眠らせてあげたい気持ちも強いですけど……ぼく、おなじくらい、Forenameさんと、ケリッグさんの役に立ちたいという気持ちも強いんです。			ナイルベルトを眠らせてあげたい気持ちも強いですけど……ぼく、おなじくらい、Forenameさんと、ケリッグさんの役に立ちたいという気持ちも強いんです。			やっと、また会えたね							
ふたりとも、ぼくにとても良くしてくれました。でも、この戦いが終われば、ふたりともアム・アレーンを離れ、別の依頼や、冒険に旅立っていく……。			ふたりとも、ぼくにとても良くしてくれました。でも、この戦いが終われば、ふたりともアム・アレーンを離れ、別の依頼や、冒険に旅立っていく……。			やっと、また会えたね							
そうなったときに、ぼくが、ふたりの足かせになっちゃいけないと思うんです。だから……。			そうなったときに、ぼくが、ふたりの足かせになっちゃいけないと思うんです。だから……。			やっと、また会えたね							
