流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			流星の間のアラミゴの駐在武官は、冒険者に話があるようだ。			自由が生みしアラミゴの獣							
アラミゴの駐在武官と話した。アラミゴに出現した偽神獣の件で、癒し手として協力を求められた。詳しい話を聞くため、ギラバニア湖畔地帯のアラミガン・クォーターで「偽神獣対策部隊の闘士」と話そう。			アラミゴの駐在武官と話した。アラミゴに出現した偽神獣の件で、癒し手として協力を求められた。詳しい話を聞くため、ギラバニア湖畔地帯のアラミガン・クォーターで「偽神獣対策部隊の闘士」と話そう。			自由が生みしアラミゴの獣							
偽神獣対策部隊の闘士と話した。ラウバーンの話では、偽神獣はアラミガン・クォーターに出現したあと、姿を消してしまったようだ。足取りを掴むためにも、獣に転じた人たちが、何に絶望していたかを探ることになった。まずは、獣化が報告された現場を確認するため、ギラバニア山岳地帯のアラガーナ付近で「ラウバーン」と話そう。			偽神獣対策部隊の闘士と話した。ラウバーンの話では、偽神獣はアラミガン・クォーターに出現したあと、姿を消してしまったようだ。足取りを掴むためにも、獣に転じた人たちが、何に絶望していたかを探ることになった。まずは、獣化が報告された現場を確認するため、ギラバニア山岳地帯のアラガーナ付近で「ラウバーン」と話そう。			自由が生みしアラミゴの獣							
獣との戦闘があった現場に到着すると、解放軍の闘士たちが傷を負っていた。アラガーナ付近で、「負傷した闘士」たちを癒そう。			獣との戦闘があった現場に到着すると、解放軍の闘士たちが傷を負っていた。アラガーナ付近で、「負傷した闘士」たちを癒そう。			自由が生みしアラミゴの獣							
負傷者を治療した。アラガーナに向かい、「ラウバーン」と話そう。			負傷者を治療した。アラガーナに向かい、「ラウバーン」と話そう。			自由が生みしアラミゴの獣							
アラガーナでラウバーンと話した。ラガンフリッドとアレンヴァルドは、「白羽根の会」という名のボランティア団体で、アラミゴ系帝国人たちの社会復帰を支援しているようだ。そんな彼らから、獣化した人物が髑髏連隊の遺族だったことを聞いた。アラミガン・クォーターに戻り、「ラウバーン」と話そう。			アラガーナでラウバーンと話した。ラガンフリッドとアレンヴァルドは、「白羽根の会」という名のボランティア団体で、アラミゴ系帝国人たちの社会復帰を支援しているようだ。そんな彼らから、獣化した人物が髑髏連隊の遺族だったことを聞いた。アラミガン・クォーターに戻り、「ラウバーン」と話そう。			自由が生みしアラミゴの獣							
ラウバーンと話した。獣の脅威を根本的に解決するためには、アレンヴァルドたち「白羽根の会」の協力が不可欠なようだ。偽神獣を追跡中の解放軍の報告が上がる頃に、また訪ねてこよう。※いずれかのHEALERジョブのレベルが86以上になると、アラミガン・クォーターの偽神獣対策部隊の闘士から次のHEALERロールクエストを受注することができます。			ラウバーンと話した。獣の脅威を根本的に解決するためには、アレンヴァルドたち「白羽根の会」の協力が不可欠なようだ。偽神獣を追跡中の解放軍の報告が上がる頃に、また訪ねてこよう。※いずれかのHEALERジョブのレベルが86以上になると、アラミガン・クォーターの偽神獣対策部隊の闘士から次のHEALERロールクエストを受注することができます。			自由が生みしアラミゴの獣							
アラミガン・クォーターの偽神獣対策部隊の闘士と話す			アラミガン・クォーターの偽神獣対策部隊の闘士と話す			自由が生みしアラミゴの獣							
アラガーナ付近のラウバーンと話す			アラガーナ付近のラウバーンと話す			自由が生みしアラミゴの獣							
負傷した闘士たちを癒す			負傷した闘士たちを癒す			自由が生みしアラミゴの獣							
ラウバーンと話す			ラウバーンと話す			自由が生みしアラミゴの獣							
アラミガン・クォーターのラウバーンと話す			アラミガン・クォーターのラウバーンと話す			自由が生みしアラミゴの獣							
Forename殿！お声掛けいただきありがとうございます！			Forename殿！お声掛けいただきありがとうございます！			自由が生みしアラミゴの獣							
実は偽神獣と思しき存在が、アラミゴでも確認されておりまして、目下、解放軍が全力で対応にあたっているそうなのですが……「解放者」である貴殿に、協力を仰ぐようにとの指示がありました。			実は偽神獣と思しき存在が、アラミゴでも確認されておりまして、目下、解放軍が全力で対応にあたっているそうなのですが……「解放者」である貴殿に、協力を仰ぐようにとの指示がありました。			自由が生みしアラミゴの獣							
諸事情がありまして、前線に出られる「癒し手」が、どうにも不足しているのです。そこで、ぜひ腕利きの貴殿に、ご助力をいただけないかと……！			諸事情がありまして、前線に出られる「癒し手」が、どうにも不足しているのです。そこで、ぜひ腕利きの貴殿に、ご助力をいただけないかと……！			自由が生みしアラミゴの獣							
何と言う？			何と言う？			自由が生みしアラミゴの獣							
任せてくれ			任せてくれ			自由が生みしアラミゴの獣							
仕方ないな……			仕方ないな……			自由が生みしアラミゴの獣							
頼もしいお返事、さすがは解放者殿！さっそくラウバーン隊長に朗報をお伝えしなくては。			頼もしいお返事、さすがは解放者殿！さっそくラウバーン隊長に朗報をお伝えしなくては。			自由が生みしアラミゴの獣							
小官からも感謝を！アラミゴは重要な同盟国であり、今回の一件では、共同で対処にあたっているのです。			小官からも感謝を！アラミゴは重要な同盟国であり、今回の一件では、共同で対処にあたっているのです。			自由が生みしアラミゴの獣							
ありがたいお返事……ご助力、非常に助かります！終末の獣については、未知の部分も多く、どうしても対応が後手に回りがちなのです。			ありがたいお返事……ご助力、非常に助かります！終末の獣については、未知の部分も多く、どうしても対応が後手に回りがちなのです。			自由が生みしアラミゴの獣							
小官からも感謝を！アラミゴは重要な同盟国であり、今回の一件では、共同で対処にあたっているのです。			小官からも感謝を！アラミゴは重要な同盟国であり、今回の一件では、共同で対処にあたっているのです。			自由が生みしアラミゴの獣							
現在、幸いにもウルダハには、偽神獣は出現しておりません。そこで不滅隊では、アラミゴの問題を解決するため、支援することを決定したのです。			現在、幸いにもウルダハには、偽神獣は出現しておりません。そこで不滅隊では、アラミゴの問題を解決するため、支援することを決定したのです。			自由が生みしアラミゴの獣							
……ですが、先日のパガルザンでの戦いの折、かなりの数の帝国兵が、捕虜とされておりまして。そのテンパード化治療に、解放軍の助力を得ている状況なのです。			……ですが、先日のパガルザンでの戦いの折、かなりの数の帝国兵が、捕虜とされておりまして。そのテンパード化治療に、解放軍の助力を得ている状況なのです。			自由が生みしアラミゴの獣							
これによって、アラミゴ側の癒し手が手薄になってしまい、心を痛めていたところでした……。そこにあなたの力添えが得られるとなれば、心強い限りです！			これによって、アラミゴ側の癒し手が手薄になってしまい、心を痛めていたところでした……。そこにあなたの力添えが得られるとなれば、心強い限りです！			自由が生みしアラミゴの獣							
それではさっそくですが、アラミガン・クォーターに向かい、「偽神獣対策部隊の闘士」にお声がけください。詳細についてはラウバーン隊長から、説明があるはずです。			それではさっそくですが、アラミガン・クォーターに向かい、「偽神獣対策部隊の闘士」にお声がけください。詳細についてはラウバーン隊長から、説明があるはずです。			自由が生みしアラミゴの獣							
アラミゴの駐在武官から、お伝えしたいことがあるようです！			アラミゴの駐在武官から、お伝えしたいことがあるようです！			自由が生みしアラミゴの獣							
それではさっそくですが、アラミガン・クォーターに向かい、「偽神獣対策部隊の闘士」にお声がけください。詳細についてはラウバーン隊長から、説明があるはずです。			それではさっそくですが、アラミガン・クォーターに向かい、「偽神獣対策部隊の闘士」にお声がけください。詳細についてはラウバーン隊長から、説明があるはずです。			自由が生みしアラミゴの獣							
ナナモ女王陛下も、アラミゴを気にかけておられるそうですよ。			ナナモ女王陛下も、アラミゴを気にかけておられるそうですよ。			自由が生みしアラミゴの獣							
あっ、Forenameさんですね。連絡を受けてお待ちしておりました！			あっ、Forenameさんですね。連絡を受けてお待ちしておりました！			自由が生みしアラミゴの獣							
現状について、ラウバーン隊長自らが説明するそうです。お取り次ぎしますので、少々お待ちくださいね！			現状について、ラウバーン隊長自らが説明するそうです。お取り次ぎしますので、少々お待ちくださいね！			自由が生みしアラミゴの獣							
(-ラウバーンの声-)よく来てくれたな、Forename。			(-ラウバーンの声-)よく来てくれたな、Forename。			自由が生みしアラミゴの獣							
星の危機に立ち向かいながらも、こうしてアラミゴの窮地に駆けつけてくれたこと、嬉しく思うぞ。			星の危機に立ち向かいながらも、こうしてアラミゴの窮地に駆けつけてくれたこと、嬉しく思うぞ。			自由が生みしアラミゴの獣							
星の危機を救ってなお、こうしてアラミゴの窮地に駆けつけてくれたこと、嬉しく思うぞ。			星の危機を救ってなお、こうしてアラミゴの窮地に駆けつけてくれたこと、嬉しく思うぞ。			自由が生みしアラミゴの獣							
武勇伝のひとつも聞かせてほしいところだが、この状況では、ゆっくりと話し込んでいるわけにもゆかぬのでな。悪いが、さっそく本題に入らせてくれ。			武勇伝のひとつも聞かせてほしいところだが、この状況では、ゆっくりと話し込んでいるわけにもゆかぬのでな。悪いが、さっそく本題に入らせてくれ。			自由が生みしアラミゴの獣							
まずは、改めて状況を説明しよう。駐在武官から多少の話は聞いているかもしれぬが、先日、ここアラミガン・クォーターにて、偽神獣が出現した。			まずは、改めて状況を説明しよう。駐在武官から多少の話は聞いているかもしれぬが、先日、ここアラミガン・クォーターにて、偽神獣が出現した。			自由が生みしアラミゴの獣							
不幸中の幸いだったのは、都ゆえに多くの闘士がいたことだ。我々は、パニックに陥る住民の避難誘導を優先……結果的に、人的被害は最小限に抑えることができた。			不幸中の幸いだったのは、都ゆえに多くの闘士がいたことだ。我々は、パニックに陥る住民の避難誘導を優先……結果的に、人的被害は最小限に抑えることができた。			自由が生みしアラミゴの獣							
だが、偽神獣を仕留めることは叶わず、逃亡を許してしまってな。いつ再び姿を現し、民を襲うともしれぬことを考えれば、一刻も早く探しだして、討たねばならん。			だが、偽神獣を仕留めることは叶わず、逃亡を許してしまってな。いつ再び姿を現し、民を襲うともしれぬことを考えれば、一刻も早く探しだして、討たねばならん。			自由が生みしアラミゴの獣							
ところが、サベネア島での事例と同様に、偽神獣の出現以降、獣に転じる者が現れ始めている。その対応に追われ、偽神獣の探索もままならぬ状況なのだ。			ところが、サベネア島での事例と同様に、偽神獣の出現以降、獣に転じる者が現れ始めている。その対応に追われ、偽神獣の探索もままならぬ状況なのだ。			自由が生みしアラミゴの獣							
何と言う？			何と言う？			自由が生みしアラミゴの獣							
なぜ偽神獣だと断定できた？			なぜ偽神獣だと断定できた？			自由が生みしアラミゴの獣							
獣化の目撃者がいるのか？			獣化の目撃者がいるのか？			自由が生みしアラミゴの獣							
獣化の瞬間を見たという、複数の目撃証言があるのだ。アラミガン・クォーターの市街を歩いていた男が、突如として異形の獣に転じた……とな。			獣化の瞬間を見たという、複数の目撃証言があるのだ。アラミガン・クォーターの市街を歩いていた男が、突如として異形の獣に転じた……とな。			自由が生みしアラミゴの獣							
だが、その正体となると判然としない。ハイランダーの年若い青年だったようだが、誰ひとりとして、その素性を知る者はいなかったのだ。			だが、その正体となると判然としない。ハイランダーの年若い青年だったようだが、誰ひとりとして、その素性を知る者はいなかったのだ。			自由が生みしアラミゴの獣							
偽神獣となったのは他国の者か、あるいは……。			偽神獣となったのは他国の者か、あるいは……。			自由が生みしアラミゴの獣							
なにはともあれ、獣化は「絶望」から引き起こされるという。だとすれば、国にはびこる絶望のもとを絶たねば、根本的解決には至らぬということになる。			なにはともあれ、獣化は「絶望」から引き起こされるという。だとすれば、国にはびこる絶望のもとを絶たねば、根本的解決には至らぬということになる。			自由が生みしアラミゴの獣							
彼らが何に絶望していたのか……それを知れば、これ以上の獣化を防ぐことはもちろん、偽神獣の行動原理を予測し、足取りを掴めるやもしれん。			彼らが何に絶望していたのか……それを知れば、これ以上の獣化を防ぐことはもちろん、偽神獣の行動原理を予測し、足取りを掴めるやもしれん。			自由が生みしアラミゴの獣							
偽神獣の討伐にむけて、どうか力を借りたい！アラミゴの解放者である貴様が協力するとなれば、それだけで民の不安を照らす、希望となるだろう。			偽神獣の討伐にむけて、どうか力を借りたい！アラミゴの解放者である貴様が協力するとなれば、それだけで民の不安を照らす、希望となるだろう。			自由が生みしアラミゴの獣							
……ありがたい。			……ありがたい。			自由が生みしアラミゴの獣							
慌ただしくてすまぬが、さっそく共に来てほしい場所がある。先刻、新たな獣化が発生したと報告が入っているのだ……。			慌ただしくてすまぬが、さっそく共に来てほしい場所がある。先刻、新たな獣化が発生したと報告が入っているのだ……。			自由が生みしアラミゴの獣							
すでに獣の討伐は完了したそうだが、負傷者も出ているようでな、癒し手としての力を貸してほしい。現場は「アラガーナ」の南西とのこと……これより向かおう！			すでに獣の討伐は完了したそうだが、負傷者も出ているようでな、癒し手としての力を貸してほしい。現場は「アラガーナ」の南西とのこと……これより向かおう！			自由が生みしアラミゴの獣							
彼らが獣に応戦してくれた闘士たちだ。アラガーナで発生した獣を集落外に誘導し、討伐したとのこと。危険を顧みず、よくやってくれた。			彼らが獣に応戦してくれた闘士たちだ。アラガーナで発生した獣を集落外に誘導し、討伐したとのこと。危険を顧みず、よくやってくれた。			自由が生みしアラミゴの獣							
吾輩は念の為、討ち漏らしの獣がいないか周囲を見回ってこよう。すまぬが、貴様は負傷兵らの治療を頼みたい。			吾輩は念の為、討ち漏らしの獣がいないか周囲を見回ってこよう。すまぬが、貴様は負傷兵らの治療を頼みたい。			自由が生みしアラミゴの獣							
治療が済んだら、「アラガーナ」で落ち合おう。獣化を目撃した者から、詳しい話を聞いておきたいのだ。では、よろしく頼むぞ！			治療が済んだら、「アラガーナ」で落ち合おう。獣化を目撃した者から、詳しい話を聞いておきたいのだ。では、よろしく頼むぞ！			自由が生みしアラミゴの獣							
