裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			裁縫師ギルドのレドレント・ローズは、素敵な誘いがあるようだ。			老舗呉服店「大天屋」どす							
前回までの冒険録：冒険者は、イシュガルドにて、母に裁縫の修行を無理強いされているアヴェリルの指導にあたることになった。しかし、アヴェリルは母に内緒で、冒険者が製作した戦装束に身を包み、旅立とうとする。その熱意に、母は考えを改め、娘と和解する。冒険者が製作した装束によって、自分らしさを取り戻したアヴェリルは、愛する者と戦場へ旅立った。　　　　　　　　　　　　*　*　*レドレント・ローズから東方の呉服問屋「大天屋」との商談に同席するよう依頼された。ウルダハのルビーロード国際市場にいる「大天屋の若旦那」と話そう。			前回までの冒険録：冒険者は、イシュガルドにて、母に裁縫の修行を無理強いされているアヴェリルの指導にあたることになった。しかし、アヴェリルは母に内緒で、冒険者が製作した戦装束に身を包み、旅立とうとする。その熱意に、母は考えを改め、娘と和解する。冒険者が製作した装束によって、自分らしさを取り戻したアヴェリルは、愛する者と戦場へ旅立った。　　　　　　　　　　　　*　*　*レドレント・ローズから東方の呉服問屋「大天屋」との商談に同席するよう依頼された。ウルダハのルビーロード国際市場にいる「大天屋の若旦那」と話そう。			老舗呉服店「大天屋」どす							
大天屋の若旦那ケイメイと話した。装束の露出の多さを気にするケイメイたちに、イシュガルドのドレスを紹介することになった。ウルダハのロイヤル・プロムナードにいる「ケイメイ」と話そう。			大天屋の若旦那ケイメイと話した。装束の露出の多さを気にするケイメイたちに、イシュガルドのドレスを紹介することになった。ウルダハのロイヤル・プロムナードにいる「ケイメイ」と話そう。			老舗呉服店「大天屋」どす							
ケイメイと話した。彼らは、イシュガルドのドレスを大変気に入ったようだ。裁縫師ギルドの「レドレント・ローズ」に報告しよう。			ケイメイと話した。彼らは、イシュガルドのドレスを大変気に入ったようだ。裁縫師ギルドの「レドレント・ローズ」に報告しよう。			老舗呉服店「大天屋」どす							
レドレント・ローズと話した。冒険者の助力によって、裁縫師ギルドと呉服問屋「大天屋」との契約が成立したようだ。ケイメイからは、ドレスの発注も入りそうな見込みだという。どんな依頼にも応えられるよう、裁縫の腕を磨いておこう。※裁縫師のレベルが63以上になると、裁縫師ギルドのレドレント・ローズから、次の裁縫師クエストを受注することができます。			レドレント・ローズと話した。冒険者の助力によって、裁縫師ギルドと呉服問屋「大天屋」との契約が成立したようだ。ケイメイからは、ドレスの発注も入りそうな見込みだという。どんな依頼にも応えられるよう、裁縫の腕を磨いておこう。※裁縫師のレベルが63以上になると、裁縫師ギルドのレドレント・ローズから、次の裁縫師クエストを受注することができます。			老舗呉服店「大天屋」どす							
ルビーロード国際市場の大天屋の若旦那と話す			ルビーロード国際市場の大天屋の若旦那と話す			老舗呉服店「大天屋」どす							
ロイヤル・プロムナードのケイメイと話す			ロイヤル・プロムナードのケイメイと話す			老舗呉服店「大天屋」どす							
レドレント・ローズに報告			レドレント・ローズに報告			老舗呉服店「大天屋」どす							
あら、Forenameちゃん、ご無沙汰ね！そうだ、素敵なお誘いがあるのよ。			あら、Forenameちゃん、ご無沙汰ね！そうだ、素敵なお誘いがあるのよ。			老舗呉服店「大天屋」どす							
裁縫師ギルドでは、さらなる知識の蓄積と技術の向上のため、東方の呉服問屋と取引を始めようとしているの。この商談に、あなたも同席してみない？			裁縫師ギルドでは、さらなる知識の蓄積と技術の向上のため、東方の呉服問屋と取引を始めようとしているの。この商談に、あなたも同席してみない？			老舗呉服店「大天屋」どす							
お相手は「ひんがしの国」の老舗呉服問屋「大天屋」さんよ。このたび、代替わりした若旦那さんが、新風を吹き込むため、エオルゼアへ視察に来られることになってね。			お相手は「ひんがしの国」の老舗呉服問屋「大天屋」さんよ。このたび、代替わりした若旦那さんが、新風を吹き込むため、エオルゼアへ視察に来られることになってね。			老舗呉服店「大天屋」どす							
