ワチュメキメキ万貨街のシェーロジャは、配合に詳しい職人を求めているようだ。			ワチュメキメキ万貨街のシェーロジャは、配合に詳しい職人を求めているようだ。			ジュース店、立ち退きの危機							
シェーロジャと話した。配合職人として、冒険者に店の立て直しに協力してほしいらしい。より詳しい話を聞くため、トライヨラのベイサイド・ベヴィー南にいるモブリン族の「ハレナルク」と話そう。			シェーロジャと話した。配合職人として、冒険者に店の立て直しに協力してほしいらしい。より詳しい話を聞くため、トライヨラのベイサイド・ベヴィー南にいるモブリン族の「ハレナルク」と話そう。			ジュース店、立ち退きの危機							
ハレナルクと話し、「ジュースクラフト・シェーロジャ」への協力を了承した。ワチュメキメキ万貨街へと戻り、「シェーロジャ」と話そう。			ハレナルクと話し、「ジュースクラフト・シェーロジャ」への協力を了承した。ワチュメキメキ万貨街へと戻り、「シェーロジャ」と話そう。			ジュース店、立ち退きの危機							
シェーロジャと話し、トラルの果物を使ったジュース開発を手伝うことになった。果物を使った配合を行い、店の立て直しに協力していこう。			シェーロジャと話し、トラルの果物を使ったジュース開発を手伝うことになった。果物を使った配合を行い、店の立て直しに協力していこう。			ジュース店、立ち退きの危機							
ハレナルクと話す			ハレナルクと話す			ジュース店、立ち退きの危機							
シェーロジャと話す			シェーロジャと話す			ジュース店、立ち退きの危機							
異国の職人、Forenameね？私は店主のシェーロジャよ。			異国の職人、Forenameね？私は店主のシェーロジャよ。			ジュース店、立ち退きの危機							
薬や食品の配合に詳しいなら、どうか「ジュースクラフト・シェーロジャ」に、貴方の力を貸してほしいわ。			薬や食品の配合に詳しいなら、どうか「ジュースクラフト・シェーロジャ」に、貴方の力を貸してほしいわ。			ジュース店、立ち退きの危機							
ローペリさんから話があったとおり、この店はいま、経営がうまくいっていないの。			ローペリさんから話があったとおり、この店はいま、経営がうまくいっていないの。			ジュース店、立ち退きの危機							
順を追って説明させてもらうわね。トライヨラでは、大陸各地の新鮮な果物を使った、絞りたてのジュースが人気なのよ。			順を追って説明させてもらうわね。トライヨラでは、大陸各地の新鮮な果物を使った、絞りたてのジュースが人気なのよ。			ジュース店、立ち退きの危機							
私は料理人として腕が立つわけではないけれど、定番のジュースならだいたいは絞るだけだし、うまくいったわ。だから開店当初はお客さんの評判もよかったの。			私は料理人として腕が立つわけではないけれど、定番のジュースならだいたいは絞るだけだし、うまくいったわ。だから開店当初はお客さんの評判もよかったの。			ジュース店、立ち退きの危機							
でも、だんだんと客足が遠のいてしまって。今では赤字が出る日もあって、このままだと遠からず、万貨街から立ち退かないといけないわ。			でも、だんだんと客足が遠のいてしまって。今では赤字が出る日もあって、このままだと遠からず、万貨街から立ち退かないといけないわ。			ジュース店、立ち退きの危機							
原因は自覚しているの……。私が、簡単で定番のジュースしか作れないせいで、それ以外に売りとなる目玉商品がないのよ……！			原因は自覚しているの……。私が、簡単で定番のジュースしか作れないせいで、それ以外に売りとなる目玉商品がないのよ……！			ジュース店、立ち退きの危機							
似たお店がたくさんある中じゃ、お客さんがうちまで足を運ぶ理由がないわ……。これじゃ、売り上げも落ちて当然ね。			似たお店がたくさんある中じゃ、お客さんがうちまで足を運ぶ理由がないわ……。これじゃ、売り上げも落ちて当然ね。			ジュース店、立ち退きの危機							
だから、どうにかして店を盛り返すために、貴方のような優秀な職人から技術を教わりたい、というわけなの。			だから、どうにかして店を盛り返すために、貴方のような優秀な職人から技術を教わりたい、というわけなの。			ジュース店、立ち退きの危機							
気合十分ね、ありがたいわ！なら、さっそく具体的な依頼の話をしたいけど……			気合十分ね、ありがたいわ！なら、さっそく具体的な依頼の話をしたいけど……			ジュース店、立ち退きの危機							
実はもうひとり、「ハレナルク」という、採集業を営むモブリン族にも協力をお願いしているの。よければ、続きは彼も交えてどうかしら？			実はもうひとり、「ハレナルク」という、採集業を営むモブリン族にも協力をお願いしているの。よければ、続きは彼も交えてどうかしら？			ジュース店、立ち退きの危機							
