カーラインカフェのノジロ・マルジロは、冒険者に耳寄りな情報を与えたいようだ。			カーラインカフェのノジロ・マルジロは、冒険者に耳寄りな情報を与えたいようだ。			奇異なる地下迷宮							
ノジロ・マルジロから、地下に広がる迷宮の情報を聞いた。南部森林のイソム・ハーの穴蔵にいる「鬼哭隊の調査隊士」から話を聞いてみよう。			ノジロ・マルジロから、地下に広がる迷宮の情報を聞いた。南部森林のイソム・ハーの穴蔵にいる「鬼哭隊の調査隊士」から話を聞いてみよう。			奇異なる地下迷宮							
地下迷宮へは、調査隊の隊長に話しかければ突入できるようだ。南部森林のクォーリーミルに向かい、冒険者の挑戦を受け付けている「鬼哭隊の調査隊長」と話そう。			地下迷宮へは、調査隊の隊長に話しかければ突入できるようだ。南部森林のクォーリーミルに向かい、冒険者の挑戦を受け付けている「鬼哭隊の調査隊長」と話そう。			奇異なる地下迷宮							
鬼哭隊の調査隊長から、「地下迷宮 死者の宮殿」の特異性について説明を受けた。迷宮の内部は、魔法により特殊な仕掛けが施されているようだ。挑戦するのならば、心してかかる必要があるだろう。			鬼哭隊の調査隊長から、「地下迷宮 死者の宮殿」の特異性について説明を受けた。迷宮の内部は、魔法により特殊な仕掛けが施されているようだ。挑戦するのならば、心してかかる必要があるだろう。			奇異なる地下迷宮							
イソム・ハーの穴蔵で鬼哭隊の調査隊士と話す			イソム・ハーの穴蔵で鬼哭隊の調査隊士と話す			奇異なる地下迷宮							
鬼哭隊の調査隊長と話す			鬼哭隊の調査隊長と話す			奇異なる地下迷宮							
よお、エオルゼアの各地で評判の冒険者ってのはお前だろ？その名声は、一介の冒険者である俺にも届いている……。お前のような凄腕に、似合いのヤマがあるぜ？			よお、エオルゼアの各地で評判の冒険者ってのはお前だろ？その名声は、一介の冒険者である俺にも届いている……。お前のような凄腕に、似合いのヤマがあるぜ？			奇異なる地下迷宮							
よお、お前も冒険者だろ？それも、結構な苦難をくぐり抜けていると見た……！お前のような腕利きに、似合いのヤマがあるぜ？			よお、お前も冒険者だろ？それも、結構な苦難をくぐり抜けていると見た……！お前のような腕利きに、似合いのヤマがあるぜ？			奇異なる地下迷宮							
最近、黒衣森を騒がせている、ある事件があるんだ……。この森の地下に、突然「迷宮」が現れたのさ！			最近、黒衣森を騒がせている、ある事件があるんだ……。この森の地下に、突然「迷宮」が現れたのさ！			奇異なる地下迷宮							
……オイオイ、これはマジな話なんだぜ？グリダニア成立前の地下都市「ゲルモラ」時代に造られた遺跡に、未知の階層が発見されたらしいんだ！			……オイオイ、これはマジな話なんだぜ？グリダニア成立前の地下都市「ゲルモラ」時代に造られた遺跡に、未知の階層が発見されたらしいんだ！			奇異なる地下迷宮							
問題は、この「迷宮」が普通じゃないってことさ……！魔法なのか呪いなのか……その内部では奇妙な現象が続出し、調査に乗り出した鬼哭隊も、手を焼いているらしい。			問題は、この「迷宮」が普通じゃないってことさ……！魔法なのか呪いなのか……その内部では奇妙な現象が続出し、調査に乗り出した鬼哭隊も、手を焼いているらしい。			奇異なる地下迷宮							
そんなこんなで、俺たち冒険者に調査依頼が出たってわけだ！迷宮の入口は、南部森林の「イソム・ハーの穴蔵」にある。興味があるなら、「鬼哭隊の調査隊士」に話を聞いてみな！			そんなこんなで、俺たち冒険者に調査依頼が出たってわけだ！迷宮の入口は、南部森林の「イソム・ハーの穴蔵」にある。興味があるなら、「鬼哭隊の調査隊士」に話を聞いてみな！			奇異なる地下迷宮							
未知の迷宮を、大手を振って探索できるチャンスだぜ。興味があるなら、南部森林の「イソム・ハーの穴蔵」へ向かい、「鬼哭隊の調査隊士」から、話を聞いてみな！			未知の迷宮を、大手を振って探索できるチャンスだぜ。興味があるなら、南部森林の「イソム・ハーの穴蔵」へ向かい、「鬼哭隊の調査隊士」から、話を聞いてみな！			奇異なる地下迷宮							
お前、「イソム・ハーの穴蔵」に現れた迷宮に挑戦するつもりか？ノジロ・マルジロと俺は、少し挑戦を見送ってるんだ。もっと情報が出揃ってからにしようと思ってな。			お前、「イソム・ハーの穴蔵」に現れた迷宮に挑戦するつもりか？ノジロ・マルジロと俺は、少し挑戦を見送ってるんだ。もっと情報が出揃ってからにしようと思ってな。			奇異なる地下迷宮							
最近、なんだか鬼哭隊の人が騒がしくしているけど……。私たちは私たちで、地下都市「ゲルモラ」の調査をしていくだけ。ここの調査を中止するつもりはないわ。			最近、なんだか鬼哭隊の人が騒がしくしているけど……。私たちは私たちで、地下都市「ゲルモラ」の調査をしていくだけ。ここの調査を中止するつもりはないわ。			奇異なる地下迷宮							
いったい僕たちの足の下で、何が起きているんだろう。「危険だから」って、中に入れてくれないんだ……。			いったい僕たちの足の下で、何が起きているんだろう。「危険だから」って、中に入れてくれないんだ……。			奇異なる地下迷宮							
おや、迷宮の調査協力に来た冒険者かい？まさかとは思うけど、ただの物見遊山じゃないよな……？			おや、迷宮の調査協力に来た冒険者かい？まさかとは思うけど、ただの物見遊山じゃないよな……？			奇異なる地下迷宮							
現在、穴蔵は鬼哭隊の許可なしには立ち入りできないよ。あっちのシェーダー族にも、何度もそう言ってるのに、一向に立ち退いてくれないんで、困ってるんだよね……。			現在、穴蔵は鬼哭隊の許可なしには立ち入りできないよ。あっちのシェーダー族にも、何度もそう言ってるのに、一向に立ち退いてくれないんで、困ってるんだよね……。			奇異なる地下迷宮							
調査協力の冒険者なら、大歓迎さ！うちの隊長が、君たち協力者を取りまとめている。隊長に声をかければ、迷宮への侵入を許可してもらえるはずだ。			調査協力の冒険者なら、大歓迎さ！うちの隊長が、君たち協力者を取りまとめている。隊長に声をかければ、迷宮への侵入を許可してもらえるはずだ。			奇異なる地下迷宮							
僕たち調査隊は、東の「クォーリーミル」を拠点にしている。そこに行って、「鬼哭隊の調査隊長」に声をかけてくれ。ただ、気をつけて……鬼哭隊の精鋭も手を焼く迷宮だからね。			僕たち調査隊は、東の「クォーリーミル」を拠点にしている。そこに行って、「鬼哭隊の調査隊長」に声をかけてくれ。ただ、気をつけて……鬼哭隊の精鋭も手を焼く迷宮だからね。			奇異なる地下迷宮							
迷宮に挑戦したいなら、東の「クォーリーミル」に向かい、「鬼哭隊の調査隊長」に声をかけてくれ。迷宮について判明している内容も、そこで聞けるはずさ。			迷宮に挑戦したいなら、東の「クォーリーミル」に向かい、「鬼哭隊の調査隊長」に声をかけてくれ。迷宮について判明している内容も、そこで聞けるはずさ。			奇異なる地下迷宮							
私を訪ねてきたということは、迷宮調査の志願者か……。協力に感謝する……我らも、あの迷宮には苦戦しておってな。			私を訪ねてきたということは、迷宮調査の志願者か……。協力に感謝する……我らも、あの迷宮には苦戦しておってな。			奇異なる地下迷宮							
君は「イソム・ハーの穴蔵」のことを、どれほど知っているかね？あの大穴の地下には、我らグリダニアの母都市とも言える、地下都市「ゲルモラ」の遺構が眠っているのだよ……。			君は「イソム・ハーの穴蔵」のことを、どれほど知っているかね？あの大穴の地下には、我らグリダニアの母都市とも言える、地下都市「ゲルモラ」の遺構が眠っているのだよ……。			奇異なる地下迷宮							
最初は、博物学者による単純な学術調査だったと聞く。だが、その地下遺跡の内部で、次々と奇妙な現象が発生……。我ら鬼哭隊に、支援要請が出されるまでになったのだ。			最初は、博物学者による単純な学術調査だったと聞く。だが、その地下遺跡の内部で、次々と奇妙な現象が発生……。我ら鬼哭隊に、支援要請が出されるまでになったのだ。			奇異なる地下迷宮							
実際に、私も入ってみたが驚いたよ……。特殊な「結界」が、地下全体に張られているらしく、一歩でも地下に踏み入ろうものなら、普段の力が出なくなる……！			実際に、私も入ってみたが驚いたよ……。特殊な「結界」が、地下全体に張られているらしく、一歩でも地下に踏み入ろうものなら、普段の力が出なくなる……！			奇異なる地下迷宮							
