シャバーブチェのシャシェパは、冒険者に期待のこもった眼差しを向けている。			シャバーブチェのシャシェパは、冒険者に期待のこもった眼差しを向けている。			凄腕の狩人							
シャシェパと話した。集落から盗まれた「アゲハの祭器」奪還のため、イットカに協力してほしいと頼まれた。彼女は海を渡った犯人を追うため、クガネに向かったという。イットカを探すため、クガネの潮風亭で彼女の情報を集めよう。			シャシェパと話した。集落から盗まれた「アゲハの祭器」奪還のため、イットカに協力してほしいと頼まれた。彼女は海を渡った犯人を追うため、クガネに向かったという。イットカを探すため、クガネの潮風亭で彼女の情報を集めよう。			凄腕の狩人							
情報を集めたところ、イットカらしき女性の居場所がわかった。クガネの赤誠組屯所付近にいる「イットカらしき女性」と話そう。			情報を集めたところ、イットカらしき女性の居場所がわかった。クガネの赤誠組屯所付近にいる「イットカらしき女性」と話そう。			凄腕の狩人							
イットカと話した。クガネでケンカ騒ぎが多発していて、それを引き起こしているのが、祭器を盗んだ犯人のようだ。ケンカ騒ぎを探して、犯人を見つけることになった。赤誠組屯所付近にいる「イットカ」と話そう。			イットカと話した。クガネでケンカ騒ぎが多発していて、それを引き起こしているのが、祭器を盗んだ犯人のようだ。ケンカ騒ぎを探して、犯人を見つけることになった。赤誠組屯所付近にいる「イットカ」と話そう。			凄腕の狩人							
イットカを連れて、クガネの楽座街にある「探索地点」で見渡そう。※同行状態が解除された場合、再度「イットカ」に話しかけることで同行を再開できます。			イットカを連れて、クガネの楽座街にある「探索地点」で見渡そう。※同行状態が解除された場合、再度「イットカ」に話しかけることで同行を再開できます。			凄腕の狩人							
釣銭をめぐる騒ぎがあったが、祭器を盗んだ犯人は見つからなかった。イットカを連れて、クガネの小金通りにある「探索地点」で見渡そう。			釣銭をめぐる騒ぎがあったが、祭器を盗んだ犯人は見つからなかった。イットカを連れて、クガネの小金通りにある「探索地点」で見渡そう。			凄腕の狩人							
ふたりの侍による痴話ゲンカが起こっていて、祭器を盗んだ犯人が、その原因となった妻に擬態していた。イットカは鷹に擬態した犯人に矢を射るが、外れて逃げられてしまう。痴話ゲンカは丸く収まり、赤誠組が注意喚起の御触れを出すという。赤誠組屯所付近に戻り「イットカ」と話そう。			ふたりの侍による痴話ゲンカが起こっていて、祭器を盗んだ犯人が、その原因となった妻に擬態していた。イットカは鷹に擬態した犯人に矢を射るが、外れて逃げられてしまう。痴話ゲンカは丸く収まり、赤誠組が注意喚起の御触れを出すという。赤誠組屯所付近に戻り「イットカ」と話そう。			凄腕の狩人							
イットカと話した。これからも、「争いごと」を手がかりにして、祭器を盗んだ犯人を追っていくという。新たな進展があるのを待って、彼女に声をかけよう。※いずれかの近接物理DPSジョブのレベルが92以上になると、赤誠組屯所付近のイットカから次の近接物理DPSロールクエストを受注することができます。			イットカと話した。これからも、「争いごと」を手がかりにして、祭器を盗んだ犯人を追っていくという。新たな進展があるのを待って、彼女に声をかけよう。※いずれかの近接物理DPSジョブのレベルが92以上になると、赤誠組屯所付近のイットカから次の近接物理DPSロールクエストを受注することができます。			凄腕の狩人							
クガネで情報を集める			クガネで情報を集める			凄腕の狩人							
イットカらしき女性と話す			イットカらしき女性と話す			凄腕の狩人							
イットカと話して同行させる			イットカと話して同行させる			凄腕の狩人							
イットカを連れて探索地点で見渡す			イットカを連れて探索地点で見渡す			凄腕の狩人							
イットカを連れて再度探索地点で見渡す			イットカを連れて再度探索地点で見渡す			凄腕の狩人							
イットカと話す			イットカと話す			凄腕の狩人							
やあ、もしやアナタ、ブルケブさんから話を聞いてここへ……？			やあ、もしやアナタ、ブルケブさんから話を聞いてここへ……？			凄腕の狩人							
それはありがたい！ワタシはシャシェパ、サカ・トラル奥地の森にある集落から来た。さっそくだけど、盗まれた祭器について説明しよう。			それはありがたい！ワタシはシャシェパ、サカ・トラル奥地の森にある集落から来た。さっそくだけど、盗まれた祭器について説明しよう。			凄腕の狩人							
ワタシが住む集落では代々、蝶のトラルヴィドラールの力を封じた、「アゲハの祭器」が祀られてきたんだ。			ワタシが住む集落では代々、蝶のトラルヴィドラールの力を封じた、「アゲハの祭器」が祀られてきたんだ。			凄腕の狩人							
その蝶はもともと、毒を持つほかの蝶の姿に擬態して、捕食者から身を護る習性を持っていた。			その蝶はもともと、毒を持つほかの蝶の姿に擬態して、捕食者から身を護る習性を持っていた。			凄腕の狩人							
それが長い時を経てトラルヴィドラールと化し、能力も強大になり、あらゆる魔物や動物に擬態するという、特異な力を得ることになった。			それが長い時を経てトラルヴィドラールと化し、能力も強大になり、あらゆる魔物や動物に擬態するという、特異な力を得ることになった。			凄腕の狩人							
アゲハの祭器には、その力が込められていて、所持している者が視認したことのある魔物や動物……他人にだって擬態することができるんだ。			アゲハの祭器には、その力が込められていて、所持している者が視認したことのある魔物や動物……他人にだって擬態することができるんだ。			凄腕の狩人							
