アドネール占星台のカリローは、冒険者へひそかに仕事を頼みたいようだ。			アドネール占星台のカリローは、冒険者へひそかに仕事を頼みたいようだ。			アインハルト家の受難							
フランセルへかけられた異端者嫌疑を信じられないというカリロー。アドネール占星台の北にあるアートボルグ砦群に赴き「フランセル」に事態を報告しよう。合言葉は「薄雪草」だ。			フランセルへかけられた異端者嫌疑を信じられないというカリロー。アドネール占星台の北にあるアートボルグ砦群に赴き「フランセル」に事態を報告しよう。合言葉は「薄雪草」だ。			アインハルト家の受難							
フランセルは昨今の異端者騒動に陰謀の匂いを感じているようだ。「キャンプ・ドラゴンヘッド」にいるフォルタン家の騎士「オルシュファン」に「オルシュファン宛の封書」を渡そう。			フランセルは昨今の異端者騒動に陰謀の匂いを感じているようだ。「キャンプ・ドラゴンヘッド」にいるフォルタン家の騎士「オルシュファン」に「オルシュファン宛の封書」を渡そう。			アインハルト家の受難							
オルシュファンはフランセルの頼みを容れ、冒険者への協力を約束してくれた。しかし、第七霊災前に失われた飛空艇「エンタープライズ」の捜索は困難であるらしい。Forename自身も最善を尽くす必要があるようだ……。			オルシュファンはフランセルの頼みを容れ、冒険者への協力を約束してくれた。しかし、第七霊災前に失われた飛空艇「エンタープライズ」の捜索は困難であるらしい。Forename自身も最善を尽くす必要があるようだ……。			アインハルト家の受難							
フランセルと話す			フランセルと話す			アインハルト家の受難							
オルシュファンにオルシュファン宛の封書を渡す			オルシュファンにオルシュファン宛の封書を渡す			アインハルト家の受難							
お静かに……。ポルトゥレーン隊長に、気付かれると厄介です。			お静かに……。ポルトゥレーン隊長に、気付かれると厄介です。			アインハルト家の受難							
あなたの仕事ぶりを、拝見させていただきました。とても誠実で、信頼に足るお方だ……どうか、私の願いを聞いていただけませんか？			あなたの仕事ぶりを、拝見させていただきました。とても誠実で、信頼に足るお方だ……どうか、私の願いを聞いていただけませんか？			アインハルト家の受難							
私は今でこそデュランデル家の騎兵ですが、霊災前までは、アインハルト家にお仕えしておりました。			私は今でこそデュランデル家の騎兵ですが、霊災前までは、アインハルト家にお仕えしておりました。			アインハルト家の受難							
嫌疑をかけられた「フランセル」様は、信心深いお方です。常々ドラゴン族との戦いに心を砕いておられたお方が、異端者と通じているとは思えません。			嫌疑をかけられた「フランセル」様は、信心深いお方です。常々ドラゴン族との戦いに心を砕いておられたお方が、異端者と通じているとは思えません。			アインハルト家の受難							
どうか、北の「アートボルグ砦群」へ向かい、フランセル様に、この窮地をお伝えください。「薄雪草」という合言葉で、わかってくださるはずです。			どうか、北の「アートボルグ砦群」へ向かい、フランセル様に、この窮地をお伝えください。「薄雪草」という合言葉で、わかってくださるはずです。			アインハルト家の受難							
アインハルト家のフランセル？それなら僕のことだが……キミは？			アインハルト家のフランセル？それなら僕のことだが……キミは？			アインハルト家の受難							
フランセルに合言葉を告げる？			フランセルに合言葉を告げる？			アインハルト家の受難							
「白百合」			「白百合」			アインハルト家の受難							
「野薔薇」			「野薔薇」			アインハルト家の受難							
「薄雪草」			「薄雪草」			アインハルト家の受難							
キャンセル			キャンセル			アインハルト家の受難							
ふむ……「白百合」の意匠を掲げる一族がグリダニアにいる、と聞いたことがあるよ。……当家とは、特に関わりはないけれど。			ふむ……「白百合」の意匠を掲げる一族がグリダニアにいる、と聞いたことがあるよ。……当家とは、特に関わりはないけれど。			アインハルト家の受難							
