シルフの仮宿のコムシオは、冒険者にお願いしたいことがあるようだ。			シルフの仮宿のコムシオは、冒険者にお願いしたいことがあるようだ。			クラクシオの決意							
シルフの仮宿から出て行ってしまったシルフがいる。茨の森へ向かい、「クラクシオ」に話しかけよう。			シルフの仮宿から出て行ってしまったシルフがいる。茨の森へ向かい、「クラクシオ」に話しかけよう。			クラクシオの決意							
クラクシオの決意は固い。シルフの仮宿に戻り「コムシオ」に報告しよう。			クラクシオの決意は固い。シルフの仮宿に戻り「コムシオ」に報告しよう。			クラクシオの決意							
クラクシオに危険が迫っている。茨の森へ向かい、「クラクシオ」を探そう。			クラクシオに危険が迫っている。茨の森へ向かい、「クラクシオ」を探そう。			クラクシオの決意							
クラクシオを無事助けることができた。シルフの仮宿へ戻り「コムシオ」に報告しよう。			クラクシオを無事助けることができた。シルフの仮宿へ戻り「コムシオ」に報告しよう。			クラクシオの決意							
コムシオは冒険者のことを、心から認めてくれたようだ。しかし、シルフの長は……？			コムシオは冒険者のことを、心から認めてくれたようだ。しかし、シルフの長は……？			クラクシオの決意							
クラクシオと話す			クラクシオと話す			クラクシオの決意							
コムシオと話す			コムシオと話す			クラクシオの決意							
クラクシオを探す			クラクシオを探す			クラクシオの決意							
コムシオに報告			コムシオに報告			クラクシオの決意							
頼りになるアナタに、お願いがあるのでふっち。シルフ族の「クラクシオ」が、ひとりで仮宿から出ていっちゃったのでふっち。			頼りになるアナタに、お願いがあるのでふっち。シルフ族の「クラクシオ」が、ひとりで仮宿から出ていっちゃったのでふっち。			クラクシオの決意							
仮宿の外は魔物がいっぱいでふっち。クラクシオだけじゃ危険すぎるのでふっち……。今すぐ「シルフの仮宿」に連れ戻してほちいのでふっち！			仮宿の外は魔物がいっぱいでふっち。クラクシオだけじゃ危険すぎるのでふっち……。今すぐ「シルフの仮宿」に連れ戻してほちいのでふっち！			クラクシオの決意							
「クラクシオ」は、仮宿を出て西の方に行ったのでふっち。魔物に襲われてないか、とっても心配なのでふっち。			「クラクシオ」は、仮宿を出て西の方に行ったのでふっち。魔物に襲われてないか、とっても心配なのでふっち。			クラクシオの決意							
誰でふっち？　知らない冒険者でふっち……。……「シルフの仮宿」に帰れって言うのでふっち？イヤなのでふっち！　ゼッタイ帰らないのでふっち！			誰でふっち？　知らない冒険者でふっち……。……「シルフの仮宿」に帰れって言うのでふっち？イヤなのでふっち！　ゼッタイ帰らないのでふっち！			クラクシオの決意							
シルフ族以外と一緒に住むなんてイヤなのでふっち。アタピは、よそにおうちを作ってひとりで住むふっち。			シルフ族以外と一緒に住むなんてイヤなのでふっち。アタピは、よそにおうちを作ってひとりで住むふっち。			クラクシオの決意							
みんな冒険者とか衛士とかに頼りすぎでふっち。そんなの「神ちゃま」を呼んで頼ってる、悪い子シルフたちと、ぜんぜん変わらないのでふっち。			みんな冒険者とか衛士とかに頼りすぎでふっち。そんなの「神ちゃま」を呼んで頼ってる、悪い子シルフたちと、ぜんぜん変わらないのでふっち。			クラクシオの決意							
ここにおうちを作ろうと思ったけど、冒険者が追っかけてくるから、もっと奥に作るのでふっち。ついてきたら怒るでふっち！			ここにおうちを作ろうと思ったけど、冒険者が追っかけてくるから、もっと奥に作るのでふっち。ついてきたら怒るでふっち！			クラクシオの決意							
ええ？　クラクシオは帰ってこないのでふっち！？おまけに、森の奥に行っちゃったのでふっち！？……困ったでふっち、どうしたらいいのでふっち……。			ええ？　クラクシオは帰ってこないのでふっち！？おまけに、森の奥に行っちゃったのでふっち！？……困ったでふっち、どうしたらいいのでふっち……。			クラクシオの決意							
実はさっき、神ちゃまを呼び出した悪い子シルフが森の中に入っていくのを見たのでふっち。いやな予感がするのでふっち……。			実はさっき、神ちゃまを呼び出した悪い子シルフが森の中に入っていくのを見たのでふっち。いやな予感がするのでふっち……。			クラクシオの決意							
森の奥へ行ったクラクシオを追いかけて、探すのでふっち！クラクシオはああ見えて、おっちょこちょいだから、途中で糸や布を落としてるかもでふっち！			森の奥へ行ったクラクシオを追いかけて、探すのでふっち！クラクシオはああ見えて、おっちょこちょいだから、途中で糸や布を落としてるかもでふっち！			クラクシオの決意							
