モモディは冒険者に依頼人を紹介したいようだ。			モモディは冒険者に依頼人を紹介したいようだ。			カッパーベルで消える夢							
モモディとパパシャンによれば、カッパーベル銅山の再開発中に現れたヘカトンケイレス族が、銅山の中で暴れているらしい。このままでは、再開発が進まないので、冒険者に鎮圧してほしいそうだ。クイックサンドにいる「ペインテッド・メサ」に話しかけよう。			モモディとパパシャンによれば、カッパーベル銅山の再開発中に現れたヘカトンケイレス族が、銅山の中で暴れているらしい。このままでは、再開発が進まないので、冒険者に鎮圧してほしいそうだ。クイックサンドにいる「ペインテッド・メサ」に話しかけよう。			カッパーベルで消える夢							
ペインテッド・メサから話を聞くことができた。カッパーベル銅山の再開発は、第七霊災からの復興のために進められているらしい。カッパーベル銅山前にいる「鉄灯団の衛兵」に話しかけよう。			ペインテッド・メサから話を聞くことができた。カッパーベル銅山の再開発は、第七霊災からの復興のために進められているらしい。カッパーベル銅山前にいる「鉄灯団の衛兵」に話しかけよう。			カッパーベルで消える夢							
カッパーベル銅山探索の許可を、鉄灯団の衛兵から得ることができた。「ヘカトンケイレス族」を鎮圧するため「カッパーベル銅山」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			カッパーベル銅山探索の許可を、鉄灯団の衛兵から得ることができた。「ヘカトンケイレス族」を鎮圧するため「カッパーベル銅山」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			カッパーベルで消える夢							
無事に、ヘカトンケイレス族を鎮圧することができた。ウルダハに戻り、クイックサンドの「ペインテッド・メサ」に報告しよう。			無事に、ヘカトンケイレス族を鎮圧することができた。ウルダハに戻り、クイックサンドの「ペインテッド・メサ」に報告しよう。			カッパーベルで消える夢							
ペインテッド・メサへの報告中に、女性の悲鳴を聞いた冒険者。女性を助けた冒険者の前に、以前に出会った賢人が現れた。			ペインテッド・メサへの報告中に、女性の悲鳴を聞いた冒険者。女性を助けた冒険者の前に、以前に出会った賢人が現れた。			カッパーベルで消える夢							
自身が秘密組織「暁の血盟」の一員であると明かした賢人は、冒険者を組織へと勧誘するが……。クイックサンドの「モモディ」に話しかけよう。			自身が秘密組織「暁の血盟」の一員であると明かした賢人は、冒険者を組織へと勧誘するが……。クイックサンドの「モモディ」に話しかけよう。			カッパーベルで消える夢							
各都市の問題を解決する中で、様々な冒険者と出会ったForename。その中の一人、新人冒険者パーティの幻術士エッダは、Forenameの姿勢に心打たれ、冒険者としての再出発を決意したようだ。Forename自身も新たな旅立ちをするときなのかもしれない。旅立ちの決意が固まったら、モモディから「暁の血盟」の話を聞こう。			各都市の問題を解決する中で、様々な冒険者と出会ったForename。その中の一人、新人冒険者パーティの幻術士エッダは、Forenameの姿勢に心打たれ、冒険者としての再出発を決意したようだ。Forename自身も新たな旅立ちをするときなのかもしれない。旅立ちの決意が固まったら、モモディから「暁の血盟」の話を聞こう。			カッパーベルで消える夢							
クイックサンドのペインテッド・メサと話す			クイックサンドのペインテッド・メサと話す			カッパーベルで消える夢							
カッパーベル銅山前の鉄灯団の衛兵と話す			カッパーベル銅山前の鉄灯団の衛兵と話す			カッパーベルで消える夢							
「カッパーベル銅山」を攻略			「カッパーベル銅山」を攻略			カッパーベルで消える夢							
