アプカル滝のヤ・ミトラの調査は、難航しているようだ。			アプカル滝のヤ・ミトラの調査は、難航しているようだ。			闇に葬られた頁							
ヤ・ミトラと話し、ラムブルースに協力を仰ぐことになった。モードゥナの聖コイナク財団の調査地にいる「ラムブルース」と話そう。			ヤ・ミトラと話し、ラムブルースに協力を仰ぐことになった。モードゥナの聖コイナク財団の調査地にいる「ラムブルース」と話そう。			闇に葬られた頁							
ラムブルースと話した。レヴナンツトールのロウェナ記念会館にいる「ロウェナ」に「ロウェナ宛の書状」を渡そう。			ラムブルースと話した。レヴナンツトールのロウェナ記念会館にいる「ロウェナ」に「ロウェナ宛の書状」を渡そう。			闇に葬られた頁							
ロウェナから借り受けた、アラガントームストーンの解読を進めることになった。レヴナンツトールの「ヤ・ミトラ」と話そう。			ロウェナから借り受けた、アラガントームストーンの解読を進めることになった。レヴナンツトールの「ヤ・ミトラ」と話そう。			闇に葬られた頁							
ヤ・ミトラと話し、ラムブルースたちの天幕を借りることになった。モードゥナの聖コイナク財団の調査地にいる「ヤ・ミトラ」と話そう。			ヤ・ミトラと話し、ラムブルースたちの天幕を借りることになった。モードゥナの聖コイナク財団の調査地にいる「ヤ・ミトラ」と話そう。			闇に葬られた頁							
サリの晩年の研究の内容が判明した。グリダニアへ戻り、アプカル滝の「ヤ・ミトラ」と話そう。			サリの晩年の研究の内容が判明した。グリダニアへ戻り、アプカル滝の「ヤ・ミトラ」と話そう。			闇に葬られた頁							
大召喚士サリを追って、アラグ帝国の遺構、魔科学研究所へ乗り込むことになった。プリンクに封印された秘法をものにするため、来たるべき決戦にそなえよう。※召喚士のレベルが70以上になると、アプカル滝のヤ・ミトラから次の召喚士クエストを受注することができます。			大召喚士サリを追って、アラグ帝国の遺構、魔科学研究所へ乗り込むことになった。プリンクに封印された秘法をものにするため、来たるべき決戦にそなえよう。※召喚士のレベルが70以上になると、アプカル滝のヤ・ミトラから次の召喚士クエストを受注することができます。			闇に葬られた頁							
聖コイナク財団の調査地のラムブルースと話す			聖コイナク財団の調査地のラムブルースと話す			闇に葬られた頁							
レヴナンツトールのロウェナに書状を渡す			レヴナンツトールのロウェナに書状を渡す			闇に葬られた頁							
レヴナンツトールのヤ・ミトラと話す			レヴナンツトールのヤ・ミトラと話す			闇に葬られた頁							
聖コイナク財団の調査地のヤ・ミトラと話す			聖コイナク財団の調査地のヤ・ミトラと話す			闇に葬られた頁							
グリダニアのヤ・ミトラと話す			グリダニアのヤ・ミトラと話す			闇に葬られた頁							
お嬢様ご主人様、このたびは大変おつかれさまでした。まさか、最後の試練を始めようという折に、あのような事件が起きるとは……。			お嬢様ご主人様、このたびは大変おつかれさまでした。まさか、最後の試練を始めようという折に、あのような事件が起きるとは……。			闇に葬られた頁							
サリに関する、アラグの記録のことだけど……。従来の文献からは何もつかめないわ。プリンクの言うとおり、記録が抹消されてしまっているようね。			サリに関する、アラグの記録のことだけど……。従来の文献からは何もつかめないわ。プリンクの言うとおり、記録が抹消されてしまっているようね。			闇に葬られた頁							
