
1F 	 Ground Floor
3F 	 Third Floor
B1F 	 Cellar
外郭中庭 	 Outer Training Grounds
騎兵詰所 	 Barracks
キープ内部 	 Inner Keep
閲兵ホール 	 Gathering Hall
作戦会議室 	 Lord Commander's Seat
聖ガンリオル礼拝堂 	 Saint Guenriol's Chapel
キープ外壁 	 Outer Walls
ゴール 	 Finish Line
飛び石の島 	 The Pebble That Skips
木々揺れる参道 	 The Trees That Sway
水巡る社庭 	 The Water That Sings
吹き荒れる随神島 	 The God Who Whispers
風惑う拝殿 	 The Wind That Summons
雲産みの社 	 The Cloud That Laughs
博物戦艦総合デッキ 	 Grand Deck
歴史展示デッキ 	 History Gallery
兵器展示デッキ 	 Soldiery Gallery
博物戦艦防衛デッキ 	 Security Deck
第III展示区 	 Exhibit Level III
特級キメラ培養室 	 High-level Incubation Bay
バイオレット管制区 	 Violet Ward
クリムゾン管制区 	 Crimson Ward
エメラルド管制区 	 Emerald Ward
現実拡張室 	 Reality Augmentation Bay
艦首構造群 	 Forward Complex
左舷構造群 	 Larboard Complex
右舷構造群 	 Starboard Complex
礼拝堂身廊 	 Chantry Nave
礼拝堂側廊 	 Chantry Cloister
庁内庭園 	 Inner Sanctum
氷天宮 	 Hall of the Spear
教皇庁の身廊 	 Vault Nave
聖トールダン大聖堂 	 Saint Thordan's Basilica
礼拝堂の昇降室 	 Chantry Lift
庭園東の昇降室 	 East Sanctum Lift
庭園西の昇降室 	 West Sanctum Lift
氷天宮の昇降室 	 Spear Lift
氷天宮円堂 	 Rotunda
聖歌隊席 	 The Quire
庭園の小ホール 	 Chapter House
氷天宮礼拝堂 	 The Chancel
エアリー・エクステリア 	 Aery Exterior
エアリー・インテリア 	 Aery Interior
エアリー・エイペックス 	 Aery Apex
艦体構造群 	 Central Complex
アク・ファール・ライ 	 Akh Fahl Lye
ミニオンスクウェア 	 Minion Square
第66号前線培養室 	 Incubator 66
テン・ウール 	 Ten Oohr
エルン・スコール 	 Errn Scorh
ニーズヘッグ・アン 	 Nidhogg An
ブロークンリンク 	 The Broken Link
サーペントスロート 	 The Serpent's Throat
シールロック・ランディング 	 Seal Rock Landing
ロンデファイル浸食谷 	 The Long Defile
スワローテイル海岸 	 Swallowtail Sands
先遣隊の発掘場 	 The Dig
メインゲート 	 Main Portal
機械兵器研究棟 	 Automachina Research
物資運搬路 	 Material Transport
物資分配場 	 Material Distribution
生体兵器研究棟 	 Bioweapon Research
特殊警戒通路 	 Security Passage
三闘神制御区 	 Triad Control
ニューロリンク 	 Neurolink
スフィア・オブ・マーヴィン 	 Marvyn
試作機実験庫 	 Analysis and Proving
評価試験場 	 Evaluation and Authentication
第VII培養層 	 Incubation Bay VII
第VIII培養層 	 Incubation Bay VIII
ニューロリンク・ナセル 	 Neurolink Nacelle
機械兵器研究棟 	 Automachina Research
生体兵器研究棟 	 Bioweapon Research
三闘神制御区 	 Triad Control
南の斜面 	 The South Face
霊峰の血管 	 The Veins
不義の山道 	 Betrayal
碧の崖 	 Greenlinn
紅の墓 	 The Red Crypt
蒼の墓 	 The Blue Crypt
霊峰の傷 	 The Wound
ヘス・アファー 	 Hess Afah
ソーム・アル：不義の山道 	 Betrayal
ソーム・アル：霊峰の血管 	 The Veins
ソーム・アル：南の斜面 	 The South Face
黙想閲覧室 	 Reading Room
